location,latitude,longitude
"Panathur, bengaluru",12.9355734,77.7057495
"Sarjapur Main Road, bengaluru",12.9040462,77.70290779999999
"Bellandur, bengaluru",12.9304278,77.678404
"Sarjapur road,, bengaluru",12.9040462,77.70290779999999
"Central Silk Board Colony, Stage 2, BTM Layout, bengaluru",12.9173312,77.6212483
"Banerghatta, bengaluru",12.8129424,77.58053
"SHOP NO. 008 FORUM MALL, 21, Hosur Rd, Chikku Lakshmaiah Layout, Koramangala, bengaluru",12.9342971,77.6112019
"HSR Layout, bengaluru",12.9121181,77.6445548
"Madiwala, Hosur Rd, Santhosapuram, Koramangala 2nd Block, Koramangala, bengaluru",12.8539184,77.6660677
"Banerghatta Road, bengaluru",12.8790549,77.5986006
"Hosur Road, bengaluru",12.8539184,77.6660677
"Harlur, bengaluru",12.9043304,77.66218690000001
"Whitefield, bengaluru",12.9698196,77.7499721
"Koramangala , bengaluru",12.9352273,77.62443309999999
"Sarjapur, bengaluru",12.8575579,77.7864057
"Kadubeesanahalli, bengaluru",12.9394137,77.6952031
"Embassy Tech Village Rd, Devarabisanahalli, Bellandur, bengaluru",12.9304642,77.6912799
"3rd and 4th Floor, Block B - Delta, Embassy Tech Square, Kadubeesanahalli, Marathalli â€“ Sarjarpur Ou, bengaluru",12.9350711,77.6945677
"Sarjapur Main Road, KSRP Block, Santhosapuram, 1st Block Koramangala, HSR Layout 5th Sector, bengaluru",12.9243105,77.6300842
"Mahadevapura, bengaluru",12.9879659,77.6895248
"BTM Layout, bengaluru",12.9165757,77.6101163
"RMZ Infinity, Swamy Vivekananda Rd, Sadanandanagar, Bennigana Halli, bengaluru",12.9940544,77.661129
"Outer Ring Rd, Marathahalli, bengaluru",12.9577617,77.70117479999999
"Electronic City, bengaluru",12.8439867,77.6739127
"Singasandra, bengaluru",12.8811382,77.64938389999999
"Rajajinagar, bengaluru",12.9981732,77.55304459999999
"RMZ Ecoworld, Building-1,Ground Floor, East Wing Devarabeesanahalli, Outer Ring Rd, Adarsh Palm Retr, bengaluru",12.9257955,77.68644170000002
"Hosur Rd, Santhosapuram, Koramangala 2nd Block, Koramangala, bengaluru",12.9255662,77.6173814
"Hosa Rd, Chennakeshava Nagar, Pragathi Nagar, Electronic City, bengaluru",12.8706743,77.6549465
"Indiranagar, bengaluru",12.9783692,77.6408356
"Haralur Road, bengaluru",12.9043304,77.66218690000001
"Marathahalli, bengaluru",12.956924,77.701127
"Jayanagar, bengaluru",12.9308404,77.58015979999999
"Domlur, bengaluru",12.9609857,77.6387316
"Bilekahalli, bengaluru",12.8984604,77.6057848
"Bommanahalli, bengaluru",12.9029804,77.6241936
"Ashok Nagar, bengaluru",12.971885,77.6070088
"Danvanthri Rd, Gandhi Nagar, bengaluru",12.9785525,77.5732815
"Neeladri Nagar, Electronics City Phase 1, Electronic City, bengaluru",12.8390936,77.6471693
"J. P. Nagar, bengaluru",12.9063433,77.5856825
"Mahadevpura, bengaluru",12.9879659,77.6895248
"Nallurhalli, Whitefield, bengaluru",12.9704803,77.73291309999999
"Hebbal, bengaluru",13.0353557,77.59878739999999
"Amruthahalli, bengaluru",13.0658792,77.6042056
"Bagalur, bengaluru",13.151285,77.668837
"Kadugodi, bengaluru",12.9908404,77.7607805
"Thyvakanahally, bengaluru",12.8317937,77.7766767
"Basavanagudi, bengaluru",12.9405997,77.5737633
Jp Nagar 4th Phase,12.906348,77.5995502
